datetime,Temp,Humidity,Pressure,WindSpeed,Conditions
2015-01-01 00:00:00,13.0,82.0,1013.5,7.5,Clear.
2015-01-01 01:00:00,13.0,82.0,1013.0,6.5,Clear.
2015-01-01 02:00:00,13.0,82.0,1012.5,3.0,Clear.
2015-01-01 03:00:00,11.5,88.0,1012.0,3.0,Clear.
2015-01-01 04:00:00,11.0,91.0,1011.0,6.5,Clear.
2015-01-01 05:00:00,12.0,88.0,1011.0,9.0,Clear.
2015-01-01 06:00:00,12.0,88.0,1011.0,8.5,Clear.
2015-01-01 07:00:00,13.0,82.5,1012.0,6.5,Sunny.
2015-01-01 08:00:00,16.0,70.5,1013.0,2.0,Sunny.
2015-01-01 09:00:00,19.0,58.0,1014.0,14.0,Sunny.
2015-01-01 10:00:00,19.5,60.0,1014.5,11.0,Sunny.
2015-01-01 11:00:00,20.0,58.0,1015.5,13.0,Brokenclouds.
2015-01-01 12:00:00,20.0,58.0,1016.0,12.0,Partlysunny.
2015-01-01 13:00:00,21.5,53.0,1016.0,9.0,Brokenclouds.
2015-01-01 14:00:00,24.0,43.0,1015.5,8.0,Brokenclouds.
2015-01-01 15:00:00,26.0,33.5,1013.5,9.0,Brokenclouds.
2015-01-01 16:00:00,26.0,32.0,1012.0,9.0,Scatteredshowers.Clear.
2015-01-01 17:00:00,26.5,34.0,1012.0,13.0,Passingclouds.
2015-01-01 18:00:00,24.0,44.0,1013.0,18.0,Sunny.
2015-01-01 19:00:00,23.0,53.0,1013.0,17.0,Sunny.
2015-01-01 20:00:00,20.5,66.5,1014.0,9.5,Sunny.
2015-01-01 21:00:00,18.5,75.5,1015.0,7.0,Clear.
2015-01-01 22:00:00,18.0,75.5,1015.5,7.5,Clear.
2015-01-01 23:00:00,16.5,85.5,1015.5,7.5,Clear.
2015-01-02 00:00:00,15.0,88.0,1015.0,6.0,Clear.
2015-01-02 01:00:00,15.0,88.0,1015.0,7.0,Clear.
2015-01-02 02:00:00,14.0,94.0,1014.0,6.0,Clear.
2015-01-02 03:00:00,14.0,94.0,1014.0,6.0,Clear.
2015-01-02 04:00:00,14.0,94.0,1013.0,7.0,Clear.
2015-01-02 05:00:00,13.5,97.0,1013.0,6.5,Clear.
2015-01-02 06:00:00,14.333333333333334,94.0,1013.6666666666666,6.333333333333333,Fog.
2015-01-02 07:00:00,15.5,91.0,1014.0,9.0,Fog.
2015-01-02 08:00:00,16.0,88.0,1014.0,7.0,Sunny.
2015-01-02 09:00:00,26.0,41.0,1014.0,9.5,Sunny.
2015-01-02 10:00:00,31.0,21.0,1013.0,22.0,Sunny.
2015-01-02 11:00:00,32.5,16.5,1013.0,22.5,Sunny.
2015-01-02 12:00:00,34.5,13.0,1012.5,21.0,Sunny.
2015-01-02 13:00:00,36.5,12.0,1011.5,21.5,Sunny.
2015-01-02 14:00:00,36.5,10.0,1011.0,18.0,Sunny.
2015-01-02 15:00:00,38.0,8.0,1010.0,17.0,Sunny.
2015-01-02 16:00:00,38.0,8.0,1010.0,20.0,Sunny.
2015-01-02 17:00:00,40.0,6.0,1009.0,17.0,Sunny.
2015-01-02 18:00:00,40.0,6.0,1008.0,17.0,Sunny.
2015-01-02 19:00:00,38.0,7.0,1008.0,20.0,Sunny.
2015-01-02 20:00:00,36.0,9.0,1009.0,14.0,Sunny.
2015-01-02 21:00:00,34.0,11.5,1009.0,15.5,Clear.
2015-01-02 22:00:00,32.5,13.0,1009.0,19.0,Clear.
2015-01-02 23:00:00,31.5,13.5,1009.0,18.0,Clear.
2015-01-03 00:00:00,31.0,13.0,1009.0,17.5,Clear.
2015-01-03 01:00:00,31.0,13.0,1009.5,22.0,Clear.
2015-01-03 02:00:00,29.666666666666668,22.333333333333332,1010.0,35.333333333333336,Clear.
2015-01-03 03:00:00,28.5,25.5,1009.5,33.0,Clear.
2015-01-03 04:00:00,28.0,26.0,1009.5,34.0,Clear.
2015-01-03 05:00:00,27.0,28.0,1010.0,33.0,Clear.
2015-01-03 06:00:00,26.5,31.0,1011.5,30.5,Clear.
2015-01-03 07:00:00,26.5,32.0,1012.5,27.5,Sunny.
2015-01-03 08:00:00,28.0,30.0,1013.0,30.0,Sunny.
2015-01-03 09:00:00,30.0,29.0,1012.5,34.0,Clear.
2015-01-03 10:00:00,32.0,26.0,1012.0,33.0,Sunny.
2015-01-03 11:00:00,33.5,23.5,1011.0,33.0,Sunny.
2015-01-03 12:00:00,36.0,20.0,1010.0,35.0,Sunny.
2015-01-03 13:00:00,36.0,19.0,1009.0,34.0,Sunny.
2015-01-03 14:00:00,37.5,18.0,1008.0,33.5,Sunny.
2015-01-03 15:00:00,38.5,16.0,1006.5,32.0,Sunny.
2015-01-03 16:00:00,38.0,15.5,1006.0,31.5,Sunny.
2015-01-03 17:00:00,36.0,18.0,1005.6666666666666,25.333333333333332,Sunny.
2015-01-03 18:00:00,28.0,42.0,1006.0,13.0,Clear.
2015-01-03 19:00:00,25.0,63.0,1008.0,12.5,Sprinkles.Clear.
2015-01-03 20:00:00,24.0,74.0,1009.0,7.0,Sunny.
2015-01-03 21:00:00,23.5,78.5,1009.0,4.0,Clear.
2015-01-03 22:00:00,23.5,78.5,1011.5,6.0,Passingclouds.
2015-01-03 23:00:00,23.5,71.5,1012.0,9.0,Sprinkles.Clear.
2015-01-04 00:00:00,20.5,91.0,1012.0,9.0,Rainshowers.Passingclouds.
2015-01-04 01:00:00,20.0,100.0,1011.0,8.0,Sprinkles.Clear.
2015-01-04 02:00:00,23.5,63.0,1008.0,21.5,Sprinkles.Clear.
2015-01-04 03:00:00,24.5,57.5,1009.0,13.0,Clear.
2015-01-04 04:00:00,20.5,80.5,1011.5,14.0,Passingclouds.
2015-01-04 05:00:00,18.5,88.0,1013.0,9.5,Lightrain.Passingclouds.
2015-01-04 06:00:00,17.5,91.0,1014.5,11.5,Passingclouds.
2015-01-04 07:00:00,17.0,83.0,1016.5,12.0,Brokenclouds.
2015-01-04 08:00:00,16.0,88.5,1017.5,15.0,Partlysunny.
2015-01-04 09:00:00,16.5,78.0,1018.0,12.5,Morecloudsthansun.
2015-01-04 10:00:00,16.0,72.0,1019.0,15.0,Mostlycloudy.
2015-01-04 11:00:00,17.0,73.0,1019.0,12.5,Mostlycloudy.
2015-01-04 12:00:00,18.0,68.0,1018.0,13.0,Mostlycloudy.
2015-01-04 13:00:00,20.5,55.0,1018.0,11.5,Partlysunny.
2015-01-04 14:00:00,22.0,48.5,1018.0,12.5,Passingclouds.
2015-01-04 15:00:00,23.0,44.0,1017.0,14.0,Passingclouds.
2015-01-04 16:00:00,22.0,47.0,1017.0,18.0,Passingclouds.
2015-01-04 17:00:00,21.5,42.0,1017.0,16.5,Passingclouds.
2015-01-04 18:00:00,21.0,40.0,1017.0,18.0,Sunny.
2015-01-04 19:00:00,19.5,52.5,1018.0,17.0,Sunny.
2015-01-04 20:00:00,18.0,49.0,1018.5,14.5,Sunny.
2015-01-04 21:00:00,16.5,59.5,1019.0,12.5,Clear.
2015-01-04 22:00:00,15.5,65.5,1020.0,9.5,Clear.
2015-01-04 23:00:00,14.5,70.0,1020.0,8.5,Clear.
2015-01-05 00:00:00,14.0,72.0,1020.0,7.5,Clear.
2015-01-05 01:00:00,12.0,82.0,1020.0,6.5,Passingclouds.
2015-01-05 02:00:00,11.5,88.0,1019.5,7.0,Passingclouds.
2015-01-05 03:00:00,11.5,91.0,1019.0,7.0,Passingclouds.
2015-01-05 04:00:00,12.5,91.0,1019.0,7.5,Passingclouds.
2015-01-05 05:00:00,13.5,85.0,1019.5,7.5,Passingclouds.
2015-01-05 06:00:00,14.0,82.0,1020.0,7.0,Partlycloudy.
2015-01-05 07:00:00,14.5,79.5,1020.0,6.0,Overcast.
2015-01-05 08:00:00,15.5,74.5,1020.0,7.5,Overcast.
